,Country,2019,2020,2021,2022,2023,2024
68,Trinidad and Tobago,172.52584933530284,170.175114526378,210.67462104157286,217.16325058546767,243.29464927898502,234.5447821557964
69,North America,,,,,,
70,Canada,22394.875659382065,23082.774049217,25362.240829346094,25567.943876041663,27227.653114122786,29346.897810218976
71,United States of America,734344.1,778397.2,806230.2,860692.2,916014.7,997309
72,South America,,,,,,
73,Argentina,3132.654926067453,2830.9297052154193,3073.4333228081255,4338.261310308717,4882.352998999768,4177.618452205222
74,Bolivia,593.1585685912642,510.4958273471458,536.2472332130958,429.36559062577425,588.8164036886878,655.1301263654879
75,Brazil,25906.871196754564,19591.20900446342,19187.122475449323,20542.063567371617,21788.291072488297,20947.72326502912
76,Chile,5182.156528660157,5246.204733451836,5194.059174297632,4649.295736329365,5470.078568904183,5105.441707261223
77,Colombia,10167.547855570394,9554.131505351017,10180.134292076586,9661.013161746454,10779.238341591625,15096.259111906225
78,Ecuador,2346,2356.3,2408.81,2586.48,2692,2698
79,Guyana,67.20693771302835,76.54183968311678,76.54494516317185,88.1982412136681,109.67487253633666,201.84155893808693
80,Paraguay,375.7795113839231,364.34219998371367,372.6013693137807,365.6882525756103,397.5794853625594,413.97134808491046
81,Peru,2766.847335140018,2653.592900085886,2657.5017745932614,2799.190985043305,3308.6118483134364,2565.2686137199557
82,Uruguay,1154.9161488039501,1091.5353596140098,1258.2313880351392,1297.897836813881,1511.449760303718,1736.764487451005
83,Venezuela,4.112702176528608,2.5915767326464496,2.024833039105932,4.627333501938637,3.9170573402045368,0
84,Asia & Oceania,,,,,,
85,Oceania,,,,,,
86,Australia,26079.346314325456,27300.894700619407,32718.066816816816,32445.330432014027,32387.98979774595,33819.57236842105
87,Fiji,79.02219897721992,71.18100399753999,68.72685185185186,68.0967657079601,73.34829746573489,77.63833568937058
88,New Zealand,2726.1512854317743,2810.1823491239456,2905.5710749646396,2829.0858390220264,3029.024714665751,2998.5275175821052
89,Papua New Guinea,91.73453996983409,93.46198156682028,87.78552746294682,132.7909406124206,97.04925702319157,91.00505612322591
90,South Asia,,,,,,
91,Afghanistan,226.3062437292583,279.57695492519326,278.250788014927,...,...,...
92,Bangladesh,4348.5018948365705,4651.183348262694,4849.929469848361,4214.350329153417,3782.793038256228,4034.561892720439
93,India,71468.90052430412,72937.06404779929,76348.53879392086,79976.78932793697,82293.33216258115,86125.97624855244
94,Nepal,428.6968950576221,434.38167346146383,453.2637836078492,454.50977533688734,436.4629238793196,426.5178344615292
95,Pakistan,10223.117331007528,10241.024484575892,11649.407810499359,10358.13859029127,8626.157588370106,10165.952756244771
96,Sri Lanka,1560.094458931629,1486.440860794995,1539.694803940506,1001.9558189446814,1165.8246402134698,1333.3123534166348
97,East Asia,,,,,,
98,China,240332.55545815144,257973.4298335652,285930.51805605274,291958.42846021045,296821.37759150215,313658.3302171763
99,Japan,50778.00658600794,51396.53605852544,53602.00256868031,43198.166358861585,48189.108621390515,55273.90431670826
100,"Korea, North",...,...,...,...,...,...
